,PC1,PC2,PC3,PC4,PC5
3-Breast-Her2-ampl,31.73551700907332,-23.458974283886764,18.316258153530832,-9.603680342845339,11.001608155350613
8-Breast-WT,-18.583706530284907,0.15240556053093451,35.560309068520844,-11.715695642903817,-5.027081121576216
10-Breast-Her2-ampl,-31.665387284090567,-10.794101577462811,29.372287682457802,-10.680465603815346,3.5856326069992535
Breast-100,-27.776689466343772,-24.30465057819692,17.830996505286834,12.814520272650611,30.81298263104508
15-Breast-Her2-ampl,-30.489499151880082,-2.593147777071472,25.895313273499852,-2.300071872643514,-11.895253811381428
16-Breast-WT,6.866702614035662,-20.90075491631606,23.399368587190487,-12.9965798051794,21.8841278997522
21-Breast-WT,45.601899265078565,-24.679898789516155,16.207364870175066,-42.32820967682509,29.81014645626581
33-Breast-Her2-ampl,-4.460605444081161,-21.227558401958667,21.897388722033323,-19.31308946829118,20.29550102563607
42-Breast-Her2-ampl,36.85843687420636,-17.040234579012026,28.955904781740923,-21.797375336925484,12.407126803639326
Breast-454,-19.565603079192904,-15.934092901697566,2.3480709629424235,6.021069939455094,23.760767609526113
48-Breast-WT,-9.725006904768122,-25.751275578071017,25.19578914885839,-3.007072218727909,25.23097575465011
50-Breast-WT,-59.34849865237596,-14.806232563176458,27.864189916871776,2.8659217963470214,5.074356341913982
55-Breast-WT,-67.67730069107266,-13.269080985987767,26.15065463820949,11.59557761039726,-1.3821530976896832
Type-Unknown-6,-45.400274556395225,-3.152055661620568,33.09052096040958,-0.7587727373459862,-6.603913044276174
Breast-564,-12.069535551498522,-17.055910615028587,23.92888613437479,3.116245799759153,8.983834864679755
59-Breast-WT,-37.02715871479137,-28.1319570714864,16.117383542776597,-4.770111748398235,15.999087430614857
Breast-590,99.38092748565677,-14.274793984000434,14.665428888814862,-40.80300447539695,-3.517808022290534
Breast-60,-38.9084187931381,-11.335460786561164,25.302063785590082,11.069984178499714,13.079541857343193
Breast-603,-5.018129452677853,-25.25303600509479,7.486453315040798,2.811365155036558,15.339749501836359
ALK61-Breast-Her2-unknown,-69.11616675950725,5.044901736141085,36.88608504469596,-3.161832573189024,-15.589897771320885
Breast-85,-66.53079895980947,2.8915472015336636,31.638744810661798,13.203298991480304,-17.30285273906827
Breast-86,6.467425890473681,-17.06484068590488,24.172889602668214,0.15672727043387896,17.52833447643486
97-Breast-Her2-ampl,-65.27535770324796,-23.07226713461856,24.52248140301103,6.486518836853511,6.110486035417623
