,PC1,PC2,PC3,PC4,PC5
3-Breast-Her2-ampl,31.437045075094094,-23.5064760794667,18.998449580373173,-9.978118301120935,11.756637436932674
8-Breast-WT,-19.17177235285218,0.166965283291519,36.091300902257125,-11.906165786503799,-5.200124066697811
10-Breast-Her2-ampl,-32.32333675815868,-11.030023360728718,29.752872646497718,-10.859777045557138,3.928452072616654
Breast-100,-28.10517875410679,-24.6795404518452,18.22528206976523,13.435887808228582,32.1548374806893
15-Breast-Her2-ampl,-30.9892146281688,-2.7648621917972016,26.223884868320557,-2.264046512591604,-12.367884112155203
16-Breast-WT,6.4182233891313585,-20.928937383638093,24.064388411891223,-13.344905215358983,22.667540159255225
21-Breast-WT,45.29498740963841,-24.34036907423692,16.895595849487467,-43.60452061712138,30.694183223649432
33-Breast-Her2-ampl,-5.024495621053152,-21.22512978794527,22.514191037566192,-19.41115537035348,20.56040883417723
42-Breast-Her2-ampl,36.40916698284976,-16.715918864159992,30.045524153942694,-22.482711540834664,12.401141142729797
Breast-454,-19.820265498625226,-16.118183582159666,2.611833055294275,6.557190899596867,24.9608614255879
48-Breast-WT,-10.06990507211832,-25.936545881242036,25.622418665894795,-2.9065476143673274,26.057141340050183
50-Breast-WT,-59.787564192033976,-15.028910359437473,28.07400065045361,3.0362974266024034,4.520018457017085
55-Breast-WT,-67.96954764654997,-13.749087148030668,25.951654119915244,11.711050557896238,-1.7314838405801656
Type-Unknown-6,-45.85727269823003,-3.507721393911972,33.330681782836685,-0.5039516802606814,-6.806534461809631
Breast-564,-12.451347375936214,-17.292655942960238,24.208588169007534,3.3536194562628983,9.424919388105387
59-Breast-WT,-37.35422508643806,-28.401018472192135,16.304070650998934,-5.054573652273576,16.651210798744664
Breast-590,100.04517126988162,-14.066308403640644,15.326012262490865,-42.386620615714,-3.398021498834306
Breast-60,-39.271506537442875,-11.691366103253655,25.57730931875032,11.49662833532653,14.083068890331434
Breast-603,-5.279139667529322,-25.604760381912683,7.768545702760312,3.1329091698715223,16.39277692310535
ALK61-Breast-Her2-unknown,-69.65362805628443,4.79088694606078,36.85249922802787,-3.0644838557399736,-15.942459724274725
Breast-85,-66.93204268039598,2.1945244469848304,31.408667503869612,13.679466126489418,-17.76720693616606
Breast-86,6.146766582356308,-17.366039012653665,24.638912900155344,0.19289289431278558,18.48032758937395
97-Breast-Her2-ampl,-65.68802447742966,-23.674200933430622,24.442507298321516,6.459699908129199,6.092349254828463
Breast-ALK-82,-60.57579458638284,2.626870438105176,15.157872250681208,0.297480713500767,-14.675060781769208
